Date,Value (USD per troy ounce)
2018-08-03,1213.37041
2018-08-04,1213.540687
2018-08-05,1214.985633
2018-08-06,1207.98787
2018-08-07,1211.754316
2018-08-08,1213.392748
2018-08-09,1212.09529
2018-08-10,1210.919526
2018-08-11,1210.954293
2018-08-12,1212.253458
2018-08-13,1193.163473
2018-08-14,1193.640023
2018-08-15,1178.81173
2018-08-16,1178.569809
2018-08-17,1185.445105
2018-08-18,1231.527094
2018-08-19,1230.769231
2018-08-20,1190.648124
2018-08-21,1196.011925
2018-08-22,1195.479623
2018-08-23,1184.783198
2018-08-24,1205.963775
2018-08-25,1206.17077
2018-08-26,1207.634666
2018-08-27,1210.884657
2018-08-28,1201.862147
2018-08-29,1207.059526
2018-08-30,1200.225362
2018-08-31,1200.881574
2018-09-01,1200.797329
2018-09-02,1199.127036
2018-09-03,1200.573563
2018-09-04,1191.69126
2018-09-05,1197.02624
2018-09-06,1200.47871
2018-09-07,1195.825105
2018-09-08,1196.057794
2018-09-09,1196.208021
2018-09-10,1195.095802
2018-09-11,1197.433563
2018-09-12,1205.993439
2018-09-13,1201.587294
2018-09-14,1193.409889
2018-09-15,1193.45984
2018-09-16,1193.402869
2018-09-17,1199.349741
2018-09-18,1198.755036
2018-09-19,1203.666553
2018-09-20,1207.294383
2018-09-21,1199.205762
2018-09-22,1199.263652
2018-09-23,1197.834316
2018-09-24,1198.968778
2018-09-25,1201.378285
2018-09-26,1195.596006
2018-09-27,1183.183098
2018-09-28,1191.902463
2018-09-29,1192.008773
2018-09-30,1190.738436
2018-10-01,1188.607345
2018-10-02,1204.883973
2018-10-03,1197.524608
2018-10-04,1199.156974
2018-10-05,1202.908435
2018-10-06,1203.137783
2018-10-07,1203.622905
2018-10-08,1189.588637
2018-10-09,1189.865836
2018-10-10,1194.434653
2018-10-11,1222.004029
2018-10-12,1217.885873
2018-10-13,1218.063887
2018-10-14,1219.415534
2018-10-15,1226.802404
2018-10-16,1224.848031
2018-10-17,1222.362814
2018-10-18,1225.475245
2018-10-19,1226.445181
2018-10-20,1226.737981
2018-10-21,1227.174553
2018-10-22,1222.112677
2018-10-23,1230.902659
2018-10-24,1234.446651
2018-10-25,1231.662631
2018-10-26,1233.812279
2018-10-27,1234.133669
2018-10-28,1232.969607
2018-10-29,1229.856994
2018-10-30,1222.575744
2018-10-31,1215.624053
2018-11-01,1232.984007
2018-11-02,1232.851958
2018-11-03,1233.038021
2018-11-04,1234.324084
2018-11-05,1231.245524
2018-11-06,1227.075167
2018-11-07,1225.780455
2018-11-08,1223.557226
2018-11-09,1209.34767
2018-11-10,1209.416517
2018-11-11,1210.7417
2018-11-12,1201.595358
2018-11-13,1202.817267
2018-11-14,1210.877092
2018-11-15,1213.51198
2018-11-16,1221.230205
2018-11-17,1221.220208
2018-11-18,1222.568617
2018-11-19,1224.046734
2018-11-20,1221.302689
2018-11-21,1225.760248
2018-11-22,1227.051459
2018-11-23,1222.700133
2018-11-24,1222.830241
