Date,Value (USD per troy ounce)
2018-08-04,831.5800853
2018-08-05,832.5008325
2018-08-06,821.9977121
2018-08-07,828.7309724
2018-08-08,828.6063567
2018-08-09,831.3619675
2018-08-10,827.6195807
2018-08-11,827.7391959
2018-08-12,828.823154
2018-08-13,799.7016051
2018-08-14,799.8620225
2018-08-15,774.9306856
2018-08-16,782.0542551
2018-08-17,785.9159696
2018-08-18,790.1265783
2018-08-19,788.4942913
2018-08-20,794.8432334
2018-08-21,794.494456
2018-08-22,793.2396114
2018-08-23,775.4966086
2018-08-24,790.0572012
2018-08-25,789.8145515
2018-08-26,793.4933545
2018-08-27,801.9883734
2018-08-28,788.9812535
2018-08-29,796.7456424
2018-08-30,789.4962831
2018-08-31,784.850726
2018-09-01,787.2156184
2018-09-02,787.494586
2018-09-03,785.9892121
2018-09-04,777.4811015
2018-09-05,784.7355722
2018-09-06,792.1443878
2018-09-07,780.7999302
2018-09-08,782.8707872
2018-09-09,782.9688613
2018-09-10,784.7398634
2018-09-11,789.9888599
2018-09-12,799.2461022
2018-09-13,802.2398537
2018-09-14,793.1123279
2018-09-15,794.4894214
2018-09-16,793.46817
2018-09-17,795.325781
2018-09-18,812.3594612
2018-09-19,822.4743428
2018-09-20,833.2354386
2018-09-21,826.9960095
2018-09-22,827.4926146
2018-09-23,825.968448
2018-09-24,825.7426142
2018-09-25,823.5442503
2018-09-26,823.2294035
2018-09-27,809.9840243
2018-09-28,814.482334
2018-09-29,817.0001389
2018-09-30,818.3774848
2018-10-01,822.694707
2018-10-02,830.233848
2018-10-03,823.6604666
2018-10-04,823.2334212
2018-10-05,821.7985453
2018-10-06,822.6187244
2018-10-07,823.4790342
2018-10-08,819.9874936
2018-10-09,826.2338389
2018-10-10,820.7413752
2018-10-11,839.1250045
2018-10-12,837.4938414
2018-10-13,838.4900471
2018-10-14,839.4895903
2018-10-15,841.6075321
2018-10-16,839.8163198
2018-10-17,831.9966542
2018-10-18,826.7445109
2018-10-19,831.2450804
2018-10-20,832.493902
2018-10-21,830.9927039
2018-10-22,820.7444152
2018-10-23,831.4957557
2018-10-24,829.4902998
2018-10-25,824.7467476
2018-10-26,831.2450804
2018-10-27,832.493902
2018-10-28,833.0278898
2018-10-29,832.2468777
2018-10-30,834.4141774
2018-10-31,837.4920927
2018-11-01,859.7667461
2018-11-02,868.2430201
2018-11-03,869.4896096
2018-11-04,870.4962699
2018-11-05,864.5861829
2018-11-06,868.6785036
2018-11-07,872.7943827
2018-11-08,864.0452964
2018-11-09,851.2390396
2018-11-10,853.4899203
2018-11-11,854.98585
2018-11-12,841.844751
2018-11-13,837.7251727
2018-11-14,835.2967093
2018-11-15,841.5421307
2018-11-16,844.8614691
2018-11-17,846.4445907
2018-11-18,845.9879024
2018-11-19,853.2366706
2018-11-20,839.520719
2018-11-21,843.2350223
2018-11-22,845.7105101
2018-11-23,839.741314
2018-11-24,840.9863087
2018-11-25,840.9933814
2018-11-26,841.6145451
2018-11-27,831.9869728
2018-11-28,823.234431
2018-11-29,818.9906879
2018-11-30,797.3705552
2018-12-01,797.0413824
2018-12-02,805.4772453
2018-12-03,806.1885077
2018-12-04,802.9951489
2018-12-05,799.9471035
2018-12-06,787.7340263
2018-12-07,791.5433027
2018-12-08,793.3548597
2018-12-09,792.4935016
2018-12-10,784.8459199
2018-12-11,783.6137933
2018-12-12,801.237703
2018-12-13,795.2507782
2018-12-14,787.0012932
2018-12-15,786.9925865
2018-12-16,786.9925865
2018-12-17,793.9944024
2018-12-18,788.7884213
2018-12-19,786.796675
2018-12-20,795.3517591
2018-12-21,787.8111418
2018-12-22,788.724396
2018-12-23,791.4899006
2018-12-24,784.9893484
2018-12-25,787.2961887
2018-12-26,795.7396607
2018-12-27,796.1176821
2018-12-28,790.1219273
2018-12-29,790.8451762
2018-12-30,790.9890527
2018-12-31,794.1074378
2019-01-01,793.5204678
2019-01-02,793.9464184
2019-01-03,798.6480784
2019-01-04,822.6202568
2019-01-05,822.7405488
2019-01-06,820.4926238
2019-01-07,822.34506
2019-01-08,816.9877625
2019-01-09,825.1362429
2019-01-10,819.8973645
2019-01-11,810.9950517
2019-01-12,811.4907084
2019-01-13,811.661959
2019-01-14,801.7408235
2019-01-15,796.9812119
2019-01-16,805.7374697
2019-01-17,807.7329037
2019-01-18,797.7317311
2019-01-19,797.9635969
2019-01-20,798.9964604
2019-01-21,793.9871344
2019-01-22,790.1279727
2019-01-23,794.1153373
2019-01-24,801.9826774
2019-01-25,816.1978379
2019-01-26,818.9136292
2019-01-27,816.4931619
2019-01-28,810.4875629
2019-01-29,812.0276065
2019-01-30,816.4985402
2019-01-31,820.288607
2019-02-01,822.9926185
2019-02-02,824.4906709
2019-02-03,824.4906709
2019-02-04,819.2451868
2019-02-05,817.3640171
2019-02-06,803.9974714
2019-02-07,796.8060747
2019-02-08,798.9955565
2019-02-09,799.9936001
2019-02-10,799.9936001
2019-02-11,784.3443208
2019-02-12,789.2610562
2019-02-13,785.2948247
2019-02-14,786.8549662
2019-02-15,804.7373947
2019-02-16,807.4935401
2019-02-17,804.997424
2019-02-18,804.7373947
2019-02-19,818.983517
2019-02-20,825.4790818
2019-02-21,821.9860823
2019-02-22,841.7621803
2019-02-23,843.0281571
2019-02-24,844.4947388
2019-02-25,851.9860407
2019-02-26,858.7360705
2019-02-27,866.7396466
2019-02-28,870.153408
2019-03-01,857.3879684
2019-03-02,857.9566903
2019-03-03,861.489688
2019-03-04,835.8990341
2019-03-05,836.6170239
2019-03-06,827.3709233
2019-03-07,813.9364862
2019-03-08,816.2452842
2019-03-09,817.4943797
2019-03-10,816.4664963
2019-03-11,821.861978
2019-03-12,835.9946349
2019-03-13,839.2395337
2019-03-14,821.4844139
2019-03-15,829.1222667
2019-03-16,830.2475798
2019-03-17,829.4693884
2019-03-18,832.2412673
2019-03-19,848.4847622
2019-03-20,862.729268
2019-03-21,858.7441581
2019-03-22,845.2427604
2019-03-23,846.4891861
2019-03-24,843.4690194
2019-03-25,857.4892914
2019-03-26,856.5051365
2019-03-27,850.9858711
2019-03-28,840.0067917
2019-03-29,847.0979295
2019-03-30,848.7019104
2019-03-31,850.991405
2019-04-01,848.4603192
2019-04-02,848.6503776
2019-04-03,873.1319378
2019-04-04,897.799213
2019-04-05,897.7835555
2019-04-06,900.5844793
2019-04-07,903.4892756
2019-04-08,906.4611928
2019-04-09,887.4942544
2019-04-10,902.3935438
2019-04-11,890.2378709
2019-04-12,888.7395129
2019-04-13,891.4960195
2019-04-14,891.4960195
2019-04-15,886.0442918
2019-04-16,878.7302547
2019-04-17,885.4875026
2019-04-18,901.7278219
2019-04-19,901.7400188
2019-04-20,902.9834573
2019-04-21,902.4944948
2019-04-22,897.9906894
2019-04-23,886.6300511
2019-04-24,881.4867791
2019-04-25,884.9892424
2019-04-26,896.9844788
2019-04-27,899.4827974
2019-04-28,899.9847003
2019-04-29,895.7129345
2019-04-30,886.2466247
2019-05-01,866.2405832
2019-05-02,848.9954302
2019-05-03,870.2432556
2019-05-04,871.4900737
2019-05-05,861.4748449
2019-05-06,876.1240323
2019-05-07,868.7328457
2019-05-08,859.2385436
2019-05-09,847.2335686
2019-05-10,862.6154674
2019-05-11,864.2370084
2019-05-12,858.9736982
2019-05-13,855.0788401
2019-05-14,856.0022632
2019-05-15,845.5771722
2019-05-16,831.9759959
2019-05-17,815.9947039
2019-05-18,818.5047555
2019-05-19,821.4901832
2019-05-20,813.4922935
2019-05-21,814.618724
2019-05-22,800.7416612
2019-05-23,796.4860801
2019-05-24,802.960421
2019-05-25,803.9231449
2019-05-26,804.4922849
2019-05-27,808.4287463
2019-05-28,798.5016836
2019-05-29,792.4954238
2019-05-30,792.2536987
2019-05-31,792.4200651
2019-06-01,793.3422717
2019-06-02,795.4943202
2019-06-03,822.6833399
2019-06-04,817.9886938
2019-06-05,802.727844
2019-06-06,803.1062772
2019-06-07,806.9636595
2019-06-08,807.4478994
2019-06-09,810.4909954
2019-06-10,805.3012034
2019-06-11,814.3016449
2019-06-12,809.93027
2019-06-13,810.1593684
2019-06-14,801.7399503
2019-06-15,804.498757
2019-06-16,802.4909319
2019-06-17,792.9031166
2019-06-18,801.9883734
2019-06-19,811.9861193
2019-06-20,805.5012776
2019-06-21,807.7593595
2019-06-22,810.0314292
2019-06-23,813.9941881
2019-06-24,813.7299346
2019-06-25,806.7460788
2019-06-26,815.9897338
2019-06-27,813.9889238
2019-06-28,834.2091862
2019-06-29,835.4218881
2019-06-30,831.4901967
2019-07-01,830.7444301
2019-07-02,830.7340998
2019-07-03,838.2414949
2019-07-04,834.804258
2019-07-05,807.4485255
2019-07-06,810.4187434
2019-07-07,807.9763425
2019-07-08,813.4954668
2019-07-09,807.7430934
2019-07-10,825.8435256
2019-07-11,821.986818
2019-07-12,828.9333501
2019-07-13,830.3716744
2019-07-14,830.495806
2019-07-15,840.4826082
2019-07-16,839.1910891
2019-07-17,844.2346467
2019-07-18,850.0415006
2019-07-19,844.9919495
2019-07-20,846.4891861
2019-07-21,846.7185423
2019-07-22,845.5643787
2019-07-23,854.9930916
2019-07-24,876.8989695
2019-07-25,866.4912965
2019-07-26,862.9316377
2019-07-27,865.8833309
2019-07-28,866.4910578
2019-07-29,879.4972546
2019-07-30,869.4236686
2019-07-31,861.9511412
2019-08-01,850.7342579
2019-08-02,843.4961901
2019-08-03,844.4947388
